input,expected_output,metadata
"{""question"": ""How many artists are in the database?""}","{""sql"": ""SELECT COUNT(*) FROM artist""}","{""query_id"": ""count_001"", ""category"": ""count"", ""difficulty"": ""easy"", ""tables_used"": [""artist""], ""expected_result"": 275}"
"{""question"": ""How many tracks are longer than 5 minutes?""}","{""sql"": ""SELECT COUNT(*) FROM track WHERE milliseconds > 300000""}","{""query_id"": ""count_002"", ""category"": ""count"", ""difficulty"": ""easy"", ""tables_used"": [""track""], ""expected_result"": 1069}"
"{""question"": ""How many customers are from the USA?""}","{""sql"": ""SELECT COUNT(*) FROM customer WHERE country = 'USA'""}","{""query_id"": ""count_003"", ""category"": ""count"", ""difficulty"": ""easy"", ""tables_used"": [""customer""], ""expected_result"": 13}"
"{""question"": ""How many albums are in the database?""}","{""sql"": ""SELECT COUNT(*) FROM album""}","{""query_id"": ""count_004"", ""category"": ""count"", ""difficulty"": ""easy"", ""tables_used"": [""album""], ""expected_result"": 347}"
"{""question"": ""How many employees work at the company?""}","{""sql"": ""SELECT COUNT(*) FROM employee""}","{""query_id"": ""count_005"", ""category"": ""count"", ""difficulty"": ""easy"", ""tables_used"": [""employee""], ""expected_result"": 8}"
"{""question"": ""List all customers from Canada""}","{""sql"": ""SELECT * FROM customer WHERE country = 'Canada'""}","{""query_id"": ""filter_001"", ""category"": ""filter"", ""difficulty"": ""easy"", ""tables_used"": [""customer""], ""expected_result"": 8}"
"{""question"": ""Find all tracks in the Rock genre""}","{""sql"": ""SELECT t.* FROM track t JOIN genre g ON t.genre_id = g.genre_id WHERE g.name = 'Rock'""}","{""query_id"": ""filter_002"", ""category"": ""filter"", ""difficulty"": ""medium"", ""tables_used"": [""track"", ""genre""], ""expected_result"": 1297}"
"{""question"": ""Show employees who report to Andrew Adams""}","{""sql"": ""SELECT e.* FROM employee e JOIN employee m ON e.reports_to = m.employee_id WHERE m.first_name = 'Andrew' AND m.last_name = 'Adams'""}","{""query_id"": ""filter_003"", ""category"": ""filter"", ""difficulty"": ""medium"", ""tables_used"": [""employee""], ""expected_result"": 2}"
"{""question"": ""List all albums with their artist names""}","{""sql"": ""SELECT album.title, artist.name FROM album JOIN artist ON album.artist_id = artist.artist_id""}","{""query_id"": ""join_001"", ""category"": ""join"", ""difficulty"": ""easy"", ""tables_used"": [""album"", ""artist""], ""expected_result"": 347}"
"{""question"": ""Show all tracks with their album and artist names""}","{""sql"": ""SELECT t.name as track_name, al.title as album_title, ar.name as artist_name FROM track t JOIN album al ON t.album_id = al.album_id JOIN artist ar ON al.artist_id = ar.artist_id""}","{""query_id"": ""join_002"", ""category"": ""join"", ""difficulty"": ""medium"", ""tables_used"": [""track"", ""album"", ""artist""], ""expected_result"": 3503}"
"{""question"": ""List all invoices with customer names and countries""}","{""sql"": ""SELECT i.invoice_id, c.first_name, c.last_name, c.country, i.total FROM invoice i JOIN customer c ON i.customer_id = c.customer_id""}","{""query_id"": ""join_003"", ""category"": ""join"", ""difficulty"": ""easy"", ""tables_used"": [""invoice"", ""customer""], ""expected_result"": 412}"
"{""question"": ""How many tracks are in each genre?""}","{""sql"": ""SELECT g.name, COUNT(*) as track_count FROM track t JOIN genre g ON t.genre_id = g.genre_id GROUP BY g.genre_id, g.name ORDER BY track_count DESC""}","{""query_id"": ""group_001"", ""category"": ""group"", ""difficulty"": ""medium"", ""tables_used"": [""track"", ""genre""], ""expected_result"": 25}"
"{""question"": ""What is the total sales amount by country?""}","{""sql"": ""SELECT c.country, SUM(i.total) as total_sales FROM invoice i JOIN customer c ON i.customer_id = c.customer_id GROUP BY c.country ORDER BY total_sales DESC""}","{""query_id"": ""group_002"", ""category"": ""group"", ""difficulty"": ""medium"", ""tables_used"": [""invoice"", ""customer""], ""expected_result"": 24}"
"{""question"": ""How many albums does each artist have?""}","{""sql"": ""SELECT ar.name, COUNT(*) as album_count FROM album al JOIN artist ar ON al.artist_id = ar.artist_id GROUP BY ar.artist_id, ar.name ORDER BY album_count DESC""}","{""query_id"": ""group_003"", ""category"": ""group"", ""difficulty"": ""medium"", ""tables_used"": [""album"", ""artist""], ""expected_result"": 204}"
"{""question"": ""What are the 10 longest tracks?""}","{""sql"": ""SELECT name, milliseconds FROM track ORDER BY milliseconds DESC LIMIT 10""}","{""query_id"": ""order_001"", ""category"": ""order"", ""difficulty"": ""easy"", ""tables_used"": [""track""], ""expected_result"": 10}"
"{""question"": ""Who are the top 5 customers by total purchase amount?""}","{""sql"": ""SELECT c.first_name, c.last_name, SUM(i.total) as total_spent FROM customer c JOIN invoice i ON c.customer_id = i.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY total_spent DESC LIMIT 5""}","{""query_id"": ""order_002"", ""category"": ""order"", ""difficulty"": ""medium"", ""tables_used"": [""customer"", ""invoice""], ""expected_result"": 5}"
"{""question"": ""What are the 5 most expensive tracks?""}","{""sql"": ""SELECT name, unit_price FROM track ORDER BY unit_price DESC LIMIT 5""}","{""query_id"": ""order_003"", ""category"": ""order"", ""difficulty"": ""easy"", ""tables_used"": [""track""], ""expected_result"": 5}"
"{""question"": ""What is the total revenue from all invoices?""}","{""sql"": ""SELECT SUM(total) FROM invoice""}","{""query_id"": ""sum_001"", ""category"": ""sum"", ""difficulty"": ""easy"", ""tables_used"": [""invoice""], ""expected_result"": 2328.60}"
"{""question"": ""What is the total duration of all tracks in minutes?""}","{""sql"": ""SELECT SUM(milliseconds) / 60000.0 as total_minutes FROM track""}","{""query_id"": ""sum_002"", ""category"": ""sum"", ""difficulty"": ""medium"", ""tables_used"": [""track""], ""expected_result"": 22979.63}"
"{""question"": ""How many invoices were created in 2023?""}","{""sql"": ""SELECT COUNT(*) FROM invoice WHERE invoice_date >= '2023-01-01' AND invoice_date < '2024-01-01'""}","{""query_id"": ""date_001"", ""category"": ""date"", ""difficulty"": ""medium"", ""tables_used"": [""invoice""], ""expected_result"": 83}"
